AccX [mg],AccY,AccZ,Ground Truth
-543,831,-123,2
-545,836,-124,2
-527,830,-128,2
-520,843,-129,2
-515,831,-115,2
-513,841,-106,2
-512,870,-101,2
-508,860,-96,2
-511,825,-104,2
-495,849,-147,2
-491,854,-167,2
-463,809,-149,2
-454,781,-170,2
-478,844,-207,2
-458,862,-242,2
-444,867,-250,2
-449,903,-268,2
-439,880,-268,2
-445,843,-250,2
-435,832,-231,2
-430,781,-200,2
-395,717,-199,2
-373,641,-226,2
-441,663,-331,2
-475,780,-537,2
-387,676,-591,2
-462,793,-627,2
-386,874,-594,2
-349,665,-569,2
-478,755,-554,2
-456,722,-525,2
-411,702,-604,2
-400,774,-537,2
-391,752,-525,2
-428,592,-497,2
-429,548,-565,2
-399,706,-589,2
-428,811,-509,2
-368,558,-520,2
-311,755,-446,2
-309,819,-428,2
-250,938,-321,2
-255,901,-390,2
-179,993,-322,2
-176,953,-268,2
-156,1033,-274,2
-149,936,-200,2
-155,876,-147,2
-147,983,-96,2
-145,987,-162,2
-128,1056,-187,2
-142,883,-296,2
-82,934,-255,2
2,947,-202,2
58,1116,-29,2
97,1087,84,2
100,963,144,2
132,930,157,2
140,944,169,2
130,991,144,2
106,1006,111,2
97,993,65,2
90,991,68,2
94,1000,69,2
92,974,49,2
102,971,61,2
121,934,71,2
150,924,95,2
178,941,125,2
203,921,164,2
230,902,198,2
252,892,243,2
266,890,266,2
280,870,283,2
279,838,292,2
282,839,303,2
284,850,312,2
287,900,316,2
302,914,317,2
292,895,323,2
263,881,314,2
228,863,309,2
200,871,298,2
174,898,283,2
163,904,280,2
152,937,278,2
168,958,279,2
196,951,290,2
198,947,293,2
214,928,289,2
220,941,293,2
239,922,299,2
240,910,301,2
248,898,287,2
222,892,278,2
222,907,278,2
210,909,270,2
213,912,266,2
212,932,275,2
217,926,283,2
225,902,291,2
214,872,301,2
204,890,291,2
197,900,287,2
196,890,292,2
199,899,283,2
196,920,280,2
216,951,288,2
238,946,292,2
250,934,298,2
251,912,300,2
254,901,300,2
250,884,301,2
239,870,300,2
233,900,308,2
