AccX [mg],AccY,AccZ,Ground Truth
242,913,319,2
256,919,333,2
256,885,336,2
245,887,337,2
226,865,334,2
222,876,335,2
219,904,348,2
238,903,344,2
233,853,339,2
212,834,349,2
211,889,349,2
225,900,352,2
244,885,370,2
262,896,391,2
281,868,395,2
291,854,404,2
289,825,415,2
284,839,414,2
270,814,418,2
257,839,419,2
261,872,423,2
287,895,438,2
304,839,430,2
293,797,415,2
275,800,407,2
262,849,408,2
288,862,417,2
316,844,431,2
328,815,440,2
309,788,443,2
302,813,460,2
318,838,460,2
318,823,453,2
288,791,454,2
265,809,457,2
264,811,447,2
246,801,442,2
251,854,454,2
250,868,464,2
276,868,483,2
297,838,491,2
309,790,480,2
281,767,466,2
270,793,472,2
258,823,467,2
259,823,475,2
262,832,487,2
264,833,490,2
259,822,488,2
256,809,482,2
254,824,481,2
254,815,474,2
273,825,488,2
293,805,485,2
312,792,484,2
326,789,489,2
335,789,492,2
330,771,483,2
310,778,483,2
299,788,482,2
285,801,489,2
288,798,500,2
289,800,505,2
297,809,502,2
293,793,502,2
296,797,491,2
288,784,488,2
287,794,485,2
288,787,482,2
284,777,482,2
282,785,484,2
294,810,496,2
318,824,506,2
330,822,508,2
330,810,506,2
321,801,504,2
305,811,482,2
276,813,478,2
279,816,481,2
266,802,460,2
227,818,457,2
197,836,452,2
164,857,441,2
145,902,451,2
132,882,433,2
108,912,412,2
104,907,396,2
84,911,385,2
103,969,386,2
125,971,376,2
127,899,381,2
149,902,386,2
146,909,405,2
196,968,413,2
138,928,361,2
113,1010,350,2
17,972,302,2
-39,1080,196,2
-90,1052,160,2
-203,939,23,2
-253,955,-48,2
-272,925,53,2
-330,885,-23,2
-347,611,-175,2
-434,794,41,2
-488,875,-197,2
-546,770,-237,2
-559,778,-171,2
-529,754,-198,2
-567,687,-242,2
-551,691,-255,2
-576,716,-299,2
-575,759,-321,2
-586,711,-325,2
-603,742,-346,2
-596,777,-325,2
-607,773,-298,2
-594,740,-304,2
-593,725,-302,2
-571,755,-284,2
-569,731,-284,2
-570,724,-296,2
-570,746,-289,2
-568,729,-296,2
-556,752,-291,2
-558,772,-281,2
-558,764,-277,2
-550,766,-290,2
-547,775,-277,2
-545,763,-272,2
-547,757,-283,2
-538,761,-277,2
-546,772,-262,2
-548,774,-260,2
-550,759,-255,2
-548,766,-251,2
-559,754,-262,2
-554,760,-257,2
-552,772,-262,2
-561,797,-247,2
-548,777,-248,2
-557,811,-229,2
-544,799,-213,2
-544,749,-226,2
-534,810,-188,2
-529,812,-199,2
-530,750,-192,2
-521,784,-219,2
-517,791,-209,2
-516,790,-198,2
-518,794,-198,2
-519,796,-191,2
-521,819,-208,2
-512,811,-199,2
-511,813,-239,2
-498,840,-244,2
-499,821,-272,2
-492,826,-276,2
-482,817,-282,2
-476,806,-289,2
-468,793,-279,2
-465,809,-264,2
-446,836,-278,2
-435,835,-301,2
-454,768,-339,2
-454,854,-331,2
-471,765,-340,2
-462,757,-341,2
-452,739,-314,2
-453,665,-364,2
-441,625,-421,2
-415,607,-563,2
-468,754,-653,2
-481,798,-581,2
-492,898,-511,2
-461,935,-372,2
-475,725,-429,2
-450,710,-445,2
-418,768,-462,2
-446,832,-497,2
-444,713,-494,2
-413,703,-422,2
-431,746,-400,2
-445,770,-413,2
-457,783,-386,2
-441,775,-372,2
-428,825,-385,2
-423,818,-372,2
-408,808,-331,2
-419,824,-340,2
-432,820,-312,2
-425,824,-289,2
-430,813,-320,2
-431,798,-300,2
-429,814,-301,2
-439,816,-316,2
-426,806,-304,2
-426,832,-293,2
-443,804,-308,2
-451,807,-318,2
-457,791,-291,2
-410,874,-311,2
-417,797,-353,2
-446,876,-353,2
-438,733,-326,2
-409,768,-357,2
-411,773,-419,2
-408,777,-456,2
-412,820,-496,2
-405,759,-550,2
-439,818,-562,2
-398,801,-591,2
-438,779,-582,2
-430,769,-491,2
-436,694,-406,2
-446,747,-380,2
-453,700,-340,2
-488,677,-358,2
-490,775,-427,2
-450,590,-365,2
-484,777,-430,2
-437,770,-459,2
-468,730,-487,2
-512,677,-486,2
-526,584,-464,2
-524,620,-494,2
-508,676,-570,2
-544,657,-621,2
-567,707,-572,2
-591,702,-593,2
-614,703,-562,2
-574,682,-416,2
-590,748,-437,2
-573,662,-276,2
-553,659,-204,2
-564,789,-194,2
-541,729,-192,2
-540,725,-161,2
-539,809,-187,2
-549,769,-172,2
-547,775,-142,2
-541,808,-141,2
-550,791,-144,2
-549,800,-146,2
-534,824,-162,2
-538,822,-141,2
-527,818,-151,2
-528,817,-144,2
-524,822,-126,2
-526,814,-137,2
-526,835,-135,2
-537,811,-120,2
-541,792,-116,2
-541,830,-134,2
-546,794,-117,2
-542,801,-124,2
-548,825,-130,2
-541,817,-109,2
-543,833,-124,2
-536,827,-115,2
-521,826,-104,2
-521,827,-116,2
-513,824,-116,2
-507,821,-97,2
-504,849,-130,2
-508,830,-109,2
-507,856,-103,2
-519,832,-115,2
-503,812,-43,2
-495,872,-76,2
-494,766,-77,2
-526,901,-69,2
-500,858,-57,2
-527,840,-66,2
