AccX [mg],AccY,AccZ,Ground Truth
-781,746,-623,0
-766,781,-535,0
-690,730,-475,0
-648,635,-470,0
-613,624,-466,0
-593,618,-426,0
-606,701,-348,0
-632,697,-292,0
-664,597,-258,0
-680,549,-258,0
-688,508,-236,0
-694,479,-250,0
-682,504,-239,0
-688,604,-266,0
-660,801,-458,0
-460,839,-560,0
-312,1034,-484,0
-420,1092,-329,0
-599,877,-341,0
-682,815,-332,0
-557,660,-257,0
-480,573,-238,0
-471,601,-243,0
-514,679,-241,0
-567,824,-196,0
-556,974,-92,0
-495,955,-51,0
-423,816,-10,0
-396,766,27,0
-415,771,54,0
-473,795,52,0
-539,895,63,0
-646,940,61,0
-727,966,45,0
-764,974,-124,0
-776,815,-428,0
-690,686,-500,0
-563,903,-135,0
-523,945,-91,0
-412,850,-125,0
-297,670,-53,0
-289,553,-48,0
-330,573,-51,0
-404,605,-38,0
-484,778,-35,0
-561,921,-53,0
-619,967,-124,0
-621,982,-126,0
-631,1022,-15,0
-622,1082,26,0
-635,905,-200,0
-581,752,-363,0
-393,877,-253,0
-368,936,-159,0
-522,915,-130,0
-589,837,-121,0
-449,727,-37,0
-288,646,25,0
-252,675,76,0
-328,643,48,0
-415,756,-27,0
-466,855,-30,0
-533,1081,6,0
-606,1197,53,0
-649,1239,5,0
-709,1036,-301,0
-806,630,-352,0
-846,795,-178,0
-722,852,-102,0
-475,722,-108,0
-359,542,-34,0
-360,422,-36,0
-369,408,-30,0
-442,625,-26,0
-595,853,-79,0
-643,903,-45,0
-661,982,-56,0
-596,945,-57,0
-577,958,37,0
-587,976,99,0
-653,928,-254,0
-553,756,-431,0
-376,1019,-275,0
-386,1048,-178,0
-522,883,-129,0
-528,823,-90,0
-374,694,-50,0
-259,642,-48,0
-269,644,-5,0
-351,715,2,0
-446,775,-50,0
-504,861,-98,0
-580,992,-126,0
-614,1100,-124,0
-684,1226,-322,0
-812,961,-471,0
-914,881,-284,0
-819,802,-327,0
-591,600,-211,0
-359,662,-188,0
-519,322,20,0
-469,404,3,0
-425,284,-11,0
-437,643,-97,0
-750,1052,-106,0
-759,840,149,0
-659,835,-51,0
-678,867,-31,0
-713,966,-107,0
-850,1118,-313,0
-408,986,-279,0
-429,871,-293,0
-489,764,-188,0
-467,641,-123,0
-398,536,-98,0
-330,622,-98,0
-374,566,-58,0
-458,713,-65,0
-546,786,-87,0
-610,907,-135,0
-672,944,-205,0
-657,1019,-102,0
-636,1062,-85,0
-842,966,-364,0
