AccX [mg],AccY,AccZ,Ground Truth
555,-838,-283,0
525,-775,-148,0
612,-608,-50,0
609,-658,-44,0
582,-814,-135,0
528,-879,-112,0
584,-920,-38,0
597,-874,-77,0
595,-895,20,0
571,-748,-83,0
574,-864,-63,0
534,-824,-113,0
527,-784,-58,0
499,-889,-93,0
502,-752,0,0
518,-909,57,0
565,-866,270,0
504,-678,519,0
560,-632,350,0
589,-598,207,0
547,-855,142,0
542,-849,248,0
585,-767,289,0
584,-840,361,0
374,-1119,525,0
589,-608,362,0
505,-580,233,0
614,-283,219,0
553,-421,232,0
491,-502,306,0
696,-172,247,0
814,380,265,0
1035,96,272,0
1132,40,145,0
1345,533,99,0
1595,525,146,0
1628,505,54,0
1595,660,40,0
1395,635,-82,0
1295,867,-150,0
1081,817,-333,0
851,906,-372,0
793,789,-538,0
529,1058,-531,0
396,796,-529,0
221,801,-622,0
208,802,-438,0
94,595,-309,0
73,618,-313,0
-68,557,-233,0
-43,857,-186,0
-185,862,-61,0
-206,805,-276,0
-311,913,-296,0
-329,932,-306,0
-360,1183,-424,0
-344,1077,-368,0
-228,1088,-338,0
-207,1189,-354,0
-164,1075,-387,0
-134,966,-364,0
-86,906,-329,0
-50,741,-284,0
-84,650,-279,0
-141,627,-273,0
-220,642,-307,0
-319,649,-328,0
-393,681,-314,0
-449,719,-253,0
-511,761,-293,0
-575,825,-354,0
-627,893,-386,0
-591,1018,-422,0
-572,1099,-593,0
-516,1183,-599,0
-298,1125,-480,0
-257,888,-379,0
-259,805,-364,0
-252,767,-325,0
-265,727,-287,0
-253,777,-245,0
-307,790,-265,0
-355,736,-258,0
-388,739,-248,0
-376,764,-162,0
-401,762,-179,0
-427,823,-260,0
-455,928,-282,0
-422,993,-285,0
-461,997,-262,0
-457,1012,-287,0
-437,1013,-267,0
-387,929,-202,0
-373,836,-136,0
-410,713,-132,0
-441,714,-179,0
-466,691,-158,0
-482,653,-151,0
-560,632,-162,0
-575,702,-108,0
-588,735,-54,0
-619,804,-49,0
-680,827,-153,0
-654,913,-188,0
-643,984,-179,0
-669,1047,-278,0
-557,1128,-251,0
-461,894,-236,0
-420,874,-228,0
-374,764,-123,0
-373,668,-131,0
-353,716,-144,0
-370,681,-118,0
-404,701,-117,0
-459,806,-116,0
-470,797,-111,0
-523,822,-103,0
-536,964,-121,0
-535,981,-126,0
-540,1051,-116,0
-487,1115,-124,0
-435,1006,-133,0
-370,958,-71,0
-365,920,-41,0
-345,828,-31,0
-393,751,-49,0
-415,717,-56,0
-463,681,-44,0
-483,708,-40,0
-501,726,-8,0
-518,765,3,0
-535,782,8,0
-555,863,-25,0
-578,959,-85,0
-588,993,-119,0
-626,993,-119,0
-636,1247,-137,0
-425,824,-136,0
-396,880,-148,0
-391,703,-114,0
-355,710,-143,0
-338,730,-122,0
-370,701,-89,0
-415,757,-99,0
-467,727,-78,0
-480,760,-47,0
-526,786,-84,0
-572,898,-113,0
-571,971,-110,0
-526,1032,-81,0
-484,1068,-85,0
-466,999,-128,0
-399,918,-84,0
-360,898,-50,0
-348,872,-50,0
-347,806,-33,0
-392,741,-27,0
-438,713,-20,0
-502,690,-24,0
-543,734,-36,0
-574,762,-8,0
-609,805,-6,0
-638,836,-13,0
-668,933,-77,0
-653,1024,-154,0
-671,1052,-175,0
-611,1223,-239,0
-452,1026,-127,0
-397,797,-89,0
-385,832,-163,0
-369,684,-142,0
-363,639,-152,0
-367,727,-138,0
-421,708,-126,0
-453,768,-117,0
-470,772,-84,0
-508,793,-67,0
-567,895,-104,0
-561,979,-89,0
-543,1003,-67,0
-520,1044,-63,0
-489,970,-63,0
-425,883,24,0
-404,896,43,0
-376,889,60,0
-377,766,57,0
-397,781,29,0
-448,726,33,0
-507,670,4,0
-520,736,6,0
-546,784,35,0
-580,756,33,0
-601,842,34,0
-615,900,16,0
-603,959,-51,0
-666,1018,-55,0
-676,1173,-124,0
-558,1131,-82,0
-495,789,-12,0
-511,854,-73,0
-474,788,-113,0
-453,799,-128,0
-386,739,-114,0
-372,751,-79,0
