AccX [mg],AccY,AccZ,Ground Truth
-291,721,-165,0
-566,951,-411,0
-702,1590,-747,0
-563,1452,-586,0
-629,1306,-552,0
-548,1125,-336,0
-457,748,-121,0
-350,597,-95,0
-289,460,-67,0
-210,407,-81,0
-184,401,-105,0
-244,414,-186,0
-284,591,-231,0
-321,656,-175,0
-478,912,-210,0
-709,1294,-357,0
-679,1274,-386,0
-747,1354,-408,0
-602,1504,-319,0
-420,887,-76,0
-369,630,-89,0
-397,532,-71,0
-399,440,-116,0
-342,558,-167,0
-259,728,-179,0
-224,638,-187,0
-230,660,-166,0
-308,721,-230,0
-597,1064,-499,0
-603,1598,-733,0
-493,1288,-602,0
-481,1238,-609,0
-420,1169,-396,0
-413,862,-182,0
-406,716,-142,0
-353,577,-109,0
-283,415,-113,0
-230,359,-126,0
-194,372,-176,0
-212,478,-304,0
-175,656,-342,0
-196,828,-394,0
-436,1001,-657,0
-595,1552,-726,0
-614,1347,-572,0
-525,1053,-378,0
-511,819,-277,0
-483,670,-279,0
-425,573,-302,0
-314,475,-350,0
-188,475,-387,0
-116,512,-388,0
-156,657,-470,0
-183,680,-414,0
-254,751,-503,0
-533,1325,-986,0
-293,1570,-1076,0
-238,1233,-946,0
-217,1154,-797,0
-127,987,-604,0
-140,606,-346,0
-142,575,-240,0
-145,572,-209,0
-182,581,-234,0
-158,716,-338,0
-160,816,-421,0
-244,942,-590,0
-301,1192,-744,0
-267,1246,-828,0
-197,785,-539,0
-238,764,-437,0
-201,846,-375,0
-185,779,-393,0
-154,805,-457,0
-173,764,-448,0
-172,698,-463,0
-180,696,-470,0
-227,729,-459,0
-244,821,-438,0
-258,868,-434,0
-226,896,-431,0
-195,933,-424,0
-198,894,-439,0
-231,816,-450,0
-323,948,-584,0
-312,1145,-697,0
-267,863,-570,0
-307,741,-587,0
-281,918,-607,0
-230,797,-588,0
-153,629,-529,0
-122,590,-471,0
-122,616,-459,0
-130,643,-466,0
-126,608,-450,0
-159,626,-384,0
-190,708,-369,0
-185,611,-276,0
-239,558,-273,0
-241,789,-277,0
-310,859,-325,0
-561,1013,-586,0
-330,1361,-666,0
-424,1380,-708,0
-349,1301,-587,0
-255,990,-247,0
-307,630,-109,0
-374,551,-120,0
-398,586,-137,0
-404,502,-200,0
-436,406,-272,0
-363,497,-267,0
-324,610,-315,0
-343,778,-415,0
-551,1173,-776,0
-404,1602,-889,0
-412,1285,-762,0
-331,1102,-575,0
-285,972,-258,0
-248,615,-94,0
-181,454,-84,0
-149,388,-55,0
-162,372,-156,0
-183,398,-307,0
-206,584,-322,0
-301,810,-295,0
-677,1044,-587,0
-561,1414,-758,0
-619,1224,-610,0
-667,1300,-554,0
-460,1112,-358,0
-402,630,-207,0
-411,414,-212,0
-443,452,-268,0
-421,541,-387,0
-344,608,-381,0
-291,616,-351,0
-296,672,-381,0
-505,973,-575,0
-553,1536,-886,0
-401,1364,-683,0
-408,994,-498,0
-309,885,-308,0
-320,693,-178,0
-319,578,-168,0
-262,427,-111,0
-263,362,-162,0
-300,424,-294,0
-305,533,-356,0
-308,716,-364,0
-571,898,-502,0
-630,1404,-779,0
-516,1217,-566,0
-590,959,-438,0
-679,1024,-471,0
-565,930,-422,0
-452,578,-258,0
-442,450,-237,0
-434,496,-240,0
-390,437,-256,0
-366,451,-348,0
-330,632,-450,0
-463,834,-685,0
-511,1270,-916,0
-545,1340,-852,0
-486,1160,-683,0
-441,946,-446,0
-476,819,-310,0
-440,704,-247,0
-345,516,-188,0
-218,399,-94,0
-127,298,-109,0
-152,377,-262,0
-193,547,-363,0
-259,657,-372,0
-491,850,-471,0
-624,1076,-587,0
-739,1125,-610,0
-782,1360,-710,0
-669,1305,-547,0
-548,781,-292,0
-547,652,-240,0
-587,635,-267,0
-589,545,-309,0
-551,468,-272,0
-550,489,-320,0
-552,576,-382,0
-506,644,-485,0
-607,821,-677,0
-704,1460,-1137,0
-521,1351,-1019,0
-413,1151,-814,0
-259,1060,-643,0
-148,780,-405,0
-111,611,-190,0
-122,618,-108,0
-151,616,-114,0
-173,704,-198,0
-216,850,-305,0
-274,945,-375,0
-442,1202,-737,0
-335,932,-317,0
-438,945,-290,0
-500,993,-360,0
-495,819,-399,0
-403,806,-384,0
-376,805,-334,0
-406,701,-349,0
-405,676,-375,0
-418,696,-353,0
-456,729,-328,0
-481,799,-358,0
-478,870,-433,0
-414,874,-445,0
-413,760,-448,0
-510,1092,-742,0
-355,1290,-807,0
-268,920,-717,0
-246,897,-636,0
-217,690,-504,0
-192,524,-462,0
-186,589,-494,0
-199,675,-487,0
-189,747,-557,0
-153,722,-503,0
-151,636,-373,0
-181,671,-335,0
-197,607,-247,0
-185,506,-199,0
-190,642,-207,0
-323,812,-192,0
-608,1063,-494,0
-530,1452,-729,0
-634,1603,-780,0
-457,1242,-437,0
-417,903,-253,0
-472,706,-190,0
-520,587,-281,0
-496,570,-362,0
-411,535,-317,0
-379,509,-238,0
-382,649,-307,0
-300,688,-295,0
-240,667,-215,0
-228,788,-193,0
-304,774,-237,0
-540,1077,-510,0
-541,1275,-632,0
-563,1230,-612,0
-564,1225,-633,0
-439,936,-349,0
-385,686,-137,0
-343,623,-106,0
-324,478,-107,0
-242,410,-132,0
-185,418,-159,0
-212,442,-242,0
-225,566,-362,0
-315,696,-305,0
-596,1004,-474,0
-673,1276,-644,0
-737,1319,-622,0
-772,1497,-597,0
-508,1123,-264,0
-428,735,-142,0
-428,575,-129,0
-452,452,-167,0
-411,427,-214,0
-342,464,-196,0
-318,511,-249,0
-404,696,-352,0
-619,1199,-702,0
-474,1533,-902,0
-441,1260,-658,0
-415,1107,-535,0
-362,957,-286,0
-360,700,-68,0
-358,603,-17,0
-340,550,-46,0
-307,529,-122,0
-271,534,-165,0
-195,565,-204,0
-220,559,-183,0
-366,708,-237,0
-645,1199,-580,0
-508,1211,-557,0
-605,1138,-502,0
-639,1319,-457,0
-522,1176,-309,0
-413,872,-155,0
-407,676,-132,0
-389,545,-144,0
-376,530,-221,0
-347,607,-231,0
-311,626,-237,0
-291,750,-349,0
-281,748,-320,0
-510,1012,-586,0
-516,1432,-799,0
-410,1204,-609,0
-455,1028,-471,0
-393,973,-299,0
-371,740,-149,0
-334,619,-86,0
-325,531,-82,0
-304,470,-96,0
-322,469,-178,0
-379,494,-332,0
-347,605,-397,0
-439,646,-322,0
-677,1162,-526,0
-558,1383,-516,0
-696,1373,-500,0
-624,1470,-362,0
-475,916,-194,0
-452,633,-149,0
-481,545,-187,0
-449,462,-227,0
-435,414,-259,0
-448,496,-255,0
-387,609,-290,0
-353,753,-323,0
-448,851,-382,0
-671,1222,-611,0
-576,1291,-695,0
-463,1010,-576,0
-419,885,-420,0
-368,805,-315,0
-353,720,-191,0
-322,666,-34,0
-300,427,1,0
-305,530,-32,0
-310,611,-109,0
-300,631,-204,0
-281,646,-140,0
-338,968,-176,0
-285,1519,-358,0
-273,1620,-250,0
-322,1706,-37,0
-148,587,167,0
-177,462,157,0
-205,592,74,0
-285,730,-84,0
-239,860,-156,0
-243,708,-115,0
-231,804,-67,0
-189,959,-84,0
-236,1187,-82,0
-136,1655,-52,0
-28,1575,9,0
58,1250,152,0
70,933,166,0
47,835,163,0
63,847,170,0
73,781,188,0
56,735,100,0
-36,571,2,0
-70,580,-81,0
-46,619,-93,0
33,758,-35,0
302,1803,-77,0
591,1722,-3,0
699,1587,325,0
518,1291,371,0
225,786,298,0
-2,585,188,0
-124,658,92,0
-226,804,47,0
-249,1058,35,0
-251,957,80,0
-58,1048,225,0
98,1224,349,0
359,1393,342,0
602,1494,319,0
688,1334,315,0
663,1120,265,0
670,948,208,0
615,766,176,0
563,647,165,0
552,576,165,0
541,528,183,0
569,573,220,0
621,570,286,0
667,555,399,0
717,620,485,0
685,625,547,0
627,710,596,0
486,896,721,0
411,830,732,0
464,881,740,0
400,842,700,0
339,794,662,0
245,782,665,0
160,643,673,0
88,619,652,0
118,612,554,0
256,465,509,0
405,485,473,0
563,449,393,0
578,374,318,0
662,350,177,0
809,736,410,0
636,271,739,0
578,775,1093,0
550,882,1163,0
583,561,858,0
582,650,721,0
499,649,795,0
421,756,540,0
381,650,467,0
404,702,451,0
510,664,543,0
536,559,553,0
554,571,586,0
465,492,634,0
430,674,679,0
404,657,715,0
311,579,732,0
310,575,776,0
215,644,820,0
178,770,953,0
116,659,978,0
55,492,687,0
152,353,401,0
217,605,331,0
222,466,403,0
155,888,391,0
173,694,237,0
288,984,344,0
405,973,389,0
609,1437,262,0
649,1220,475,0
709,595,331,0
801,539,614,0
656,807,536,0
727,499,318,0
745,656,271,0
858,438,271,0
927,600,227,0
964,331,122,0
869,408,114,0
796,424,92,0
829,387,80,0
891,399,123,0
910,404,142,0
896,390,156,0
894,383,193,0
918,393,190,0
933,423,203,0
952,442,214,0
960,416,233,0
960,380,226,0
950,384,254,0
944,381,235,0
989,346,141,0
980,381,155,0
936,523,292,0
852,283,141,0
1019,192,-25,0
1297,102,-84,0
1436,17,300,0
1037,-604,298,0
828,-336,389,0
823,-373,291,0
746,-415,138,0
793,-422,56,0
695,-22,-232,0
575,-579,-225,0
653,-500,-213,0
833,-556,-276,0
848,-497,-300,0
782,-663,-308,0
673,-594,-318,0
647,-612,-353,0
652,-513,-288,0
625,-277,-303,0
629,-435,-308,0
805,-476,-335,0
840,-828,-430,0
607,-774,-637,0
685,-544,-406,0
797,-580,-490,0
671,-555,-809,0
619,-707,-653,0
590,-619,-498,0
443,-724,-526,0
601,-630,-393,0
586,-664,-430,0
640,-727,-581,0
580,-1030,-611,0
612,-806,-296,0
608,-613,-47,0
521,-733,-221,0
558,-663,20,0
625,-568,-173,0
616,-681,-310,0
608,-702,-295,0
621,-713,-345,0
566,-866,-356,0
